year,site,elev,lat,lon,line,height,shrub,organic,density,ph,thaw,TI_0,TI2_5,TI5_0,TI150,FI_0,FI2_5,FI5_0,FI150,NETDD,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
2007,BP,1272,63.292027,0.261517,BP.B,4,1,3.02,0.28,4.8,51,1.12,1.14,0.83,0.01,0.51,0.49,0.43,0.07,412.79,1.88,6.91,6.52,7.71,3.37,2.02,138.84,183.21
2008,BP,1272,63.292027,0.261517,BP.B,4,1,3.02,0.28,4.8,48,0.51,0.47,0.97,0,0.31,0.33,0.29,0.09,374.29,1.74,5.52,6.63,6.54,3.38,1.57,122.06,224.87
2009,BP,1272,63.292027,0.261517,BP.B,4,1,3.02,0.28,4.8,48,1.16,1.08,0.88,0,0.37,0.77,0.69,0.11,406.91,1.21,7.07,5.9,8.13,3.42,1.64,125.54,194.42
2010,BP,1272,63.292027,0.261517,BP.B,4,1,3.02,0.28,4.8,52,0.75,0.69,0.85,0,0.56,0.53,0.46,0.13,413.27,5.24,7.25,7.21,8.24,3.46,1.66,95.17,186.17
2011,BP,1272,63.292027,0.261517,BP.B,4,1,3.02,0.28,4.8,71,0.78,0.72,0.88,0,0.39,0.37,0.32,0.06,398.32,2.04,6.85,6.27,7.81,3.44,1.7,149.01,229.28
2012,BP,1272,63.292027,0.261517,BP.B,4,1,3.02,0.28,4.8,67,0.6,0.55,0.89,0,0.35,0.32,0.55,0.09,429.82,3.84,7.1,6.71,8.03,3.45,1.71,170.87,218.64
2013,BP,1272,63.292027,0.261517,BP.B,4,1,3.02,0.28,4.8,69,1.2,0.88,0.64,0,1.18,0.96,0.82,0.19,375.18,0.67,7.76,5.72,8.63,3.24,1.68,139.47,250.89
2014,BP,1272,63.292027,0.261517,BP.B,4,1,3.02,0.28,4.8,70,1.13,0.85,0.65,0,0.78,0.73,0.65,0.18,375.25,2.9,7.17,5.83,7.97,3.24,1.76,186.05,277.7
1997,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,70,1.23,1.11,1,0,0.39,0.38,0.3,0.09,406.97,1.64,6.72,5.17,7.67,3.27,1.14,143.98,299.67
1998,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,67,1.15,1.06,0.39,0,0.54,0.5,0.42,0.05,507.64,4.41,6.47,5.61,7.03,3.55,1.17,146.44,224.76
1999,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,60,0.43,0.43,0.32,0,0.39,0.38,0.37,0.08,443.63,1.99,5.82,6.52,6.53,3.2,1.17,147.26,251.65
2000,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,52,0.46,0.62,1.35,0,0.42,0.42,0.37,0.03,531.51,4.47,5.08,7.81,6.02,4.14,1.64,147.52,280.7
2001,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,61,1.23,1.74,1.39,0.01,0.94,0.94,0.83,0.11,480.74,4.92,6.06,7.61,7.01,3.49,1.39,149.73,265.14
2002,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,60,1.17,1.08,0.87,0,0.31,0.32,0.48,0.08,419.48,2.32,5.91,6.41,6.82,3.53,1.65,136.31,298.3
2003,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,66,1.22,1.4,0.8,0.01,0.61,0.59,0.57,0.09,454.87,4.75,5.93,7.5,7.34,3.57,1.93,162.05,258.91
2004,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,63,1.19,1.24,0.86,0.04,0.51,0.48,0.4,0.1,385.64,3.57,6.47,6.15,7.75,3.48,2.02,171.87,203.35
2005,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,67,0.62,0.63,0.65,0.01,0.28,0.27,0.23,0.07,486.48,4.71,7,8.79,7.72,3.87,2.3,226.58,198.48
2006,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,62,1.2,1.22,0.83,0.02,1.13,1.09,0.93,0.16,475.51,4.11,7.2,7.38,7.78,3.89,2.24,150.69,177.95
2007,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,63,1.12,1.14,0.83,0.01,0.51,0.49,0.43,0.07,412.79,1.88,6.91,6.52,7.71,3.37,2.02,138.84,183.21
2008,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,59,0.51,0.47,0.97,0,0.31,0.33,0.29,0.09,374.29,1.74,5.52,6.63,6.54,3.38,1.57,122.06,224.87
2009,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,60,1.16,1.08,0.88,0,0.37,0.77,0.69,0.11,406.91,1.21,7.07,5.9,8.13,3.42,1.64,125.54,194.42
2010,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,62,0.75,0.69,0.85,0,0.56,0.53,0.46,0.13,413.27,5.24,7.25,7.21,8.24,3.46,1.66,95.17,186.17
2011,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,56,0.78,0.72,0.88,0,0.39,0.37,0.32,0.06,398.32,2.04,6.85,6.27,7.81,3.44,1.7,149.01,229.28
2012,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,58,0.6,0.55,0.89,0,0.35,0.32,0.55,0.09,429.82,3.84,7.1,6.71,8.03,3.45,1.71,170.87,218.64
2013,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,50,1.2,0.88,0.64,0,1.18,0.96,0.82,0.19,375.18,0.67,7.76,5.72,8.63,3.24,1.68,139.47,250.89
2014,BP,1272,63.292027,0.261517,BP.C,4,1,3.02,0.28,4.8,61,1.13,0.85,0.65,0,0.78,0.73,0.65,0.18,375.25,2.9,7.17,5.83,7.97,3.24,1.76,186.05,277.7
1997,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,60,1.23,1.11,1,0,0.39,0.38,0.3,0.09,406.97,1.64,6.72,5.17,7.67,3.27,1.14,143.98,299.67
1998,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,53,1.15,1.06,0.39,0,0.54,0.5,0.42,0.05,507.64,4.41,6.47,5.61,7.03,3.55,1.17,146.44,224.76
1999,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,64,0.43,0.43,0.32,0,0.39,0.38,0.37,0.08,443.63,1.99,5.82,6.52,6.53,3.2,1.17,147.26,251.65
2000,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,45,0.46,0.62,1.35,0,0.42,0.42,0.37,0.03,531.51,4.47,5.08,7.81,6.02,4.14,1.64,147.52,280.7
2001,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,63,1.23,1.74,1.39,0.01,0.94,0.94,0.83,0.11,480.74,4.92,6.06,7.61,7.01,3.49,1.39,149.73,265.14
