id,year,month,day,date,gf.top,gf.side,hf.top,hf.side,gf.top.ibuttons,gf.side.ibuttons,hf.top.ibuttons,hf.side.ibuttons
3243,2024,7,3,2024-07-03,0,0,0,0,0,0,0,0
3244,2024,7,4,2024-07-04,0,0,0,0,0,0,0,0
3245,2024,7,5,2024-07-05,0,0,0,0,0,0,0,0
3246,2024,7,6,2024-07-06,0,0,0,0,0,0,0,0
3247,2024,7,7,2024-07-07,0,0,0,0,0,0,0,0
3248,2024,7,8,2024-07-08,0,0,0,0,0,0,0,0
3249,2024,7,9,2024-07-09,0,0,0,0,0,0,0,0
3250,2024,7,10,2024-07-10,0,0,0,0,0,0,0,0
3251,2024,7,11,2024-07-11,0,0,0,0,0,0,0,0
3252,2024,7,12,2024-07-12,0,0,0,0,0,0,0,0
3253,2024,7,13,2024-07-13,0,0,0,0,0,0,0,0
3254,2024,7,14,2024-07-14,0,0,0,0,0,0,0,0
3255,2024,7,15,2024-07-15,0,0,0,0,0,0,0,0
3256,2024,7,16,2024-07-16,0,0,0,0,0,0,0,0
3257,2024,7,17,2024-07-17,0,0,0,0,0,0,0,0
3258,2024,7,18,2024-07-18,0,0,0,0,0,0,0,0
3259,2024,7,19,2024-07-19,0,0,0,0,0,0,0,0
3260,2024,7,20,2024-07-20,0,0,0,0,0,0,0,0
3261,2024,7,21,2024-07-21,0,0,0,0,0,0,0,0
3262,2024,7,22,2024-07-22,0,0,0,0,0,0,0,0
3263,2024,7,23,2024-07-23,0,0,0,0,0,0,0,0
3264,2024,7,24,2024-07-24,0,0,0,0,0,0,0,0
3265,2024,7,25,2024-07-25,0,0,0,0,0,0,0,0
3266,2024,7,26,2024-07-26,0,0,0,0,0,0,0,0
3267,2024,7,27,2024-07-27,0,0,0,0,0,0,0,0
3268,2024,7,28,2024-07-28,0,0,0,0,0,0,0,0
3269,2024,7,29,2024-07-29,0,0,0,0,0,0,0,0
3270,2024,7,30,2024-07-30,0,0,0,0,0,0,0,0
3271,2024,7,31,2024-07-31,0,0,0,0,0,0,0,0
3272,2024,8,1,2024-08-01,0,0,0,0,0,0,0,0
3273,2024,8,2,2024-08-02,0,0,0,0,0,0,0,0
3274,2024,8,3,2024-08-03,0,0,0,0,0,0,0,0
3275,2024,8,4,2024-08-04,0,0,0,0,0,0,0,0
3276,2024,8,5,2024-08-05,0,0,0,0,0,0,0,0
3277,2024,8,6,2024-08-06,0,0,0,0,0,0,0,0
3278,2024,8,7,2024-08-07,0,0,0,0,0,0,0,0
3279,2024,8,8,2024-08-08,0,0,0,0,0,0,0,0
3280,2024,8,9,2024-08-09,0,0,0,0,0,0,0,0
3281,2024,8,10,2024-08-10,0,0,0,0,0,0,0,0
3282,2024,8,11,2024-08-11,0,0,0,0,0,0,0,0
3283,2024,8,12,2024-08-12,0,0,0,0,0,0,0,0
3284,2024,8,13,2024-08-13,0,0,0,0,0,0,0,0
3285,2024,8,14,2024-08-14,0,0,0,0,0,0,0,0
3286,2024,8,15,2024-08-15,0,0,0,0,0,0,0,0
3287,2024,8,16,2024-08-16,0,0,0,0,0,0,0,0
3288,2024,8,17,2024-08-17,0,0,0,0,0,0,0,0
3289,2024,8,18,2024-08-18,0,0,0,0,0,0,0,0
3290,2024,8,19,2024-08-19,0,0,0,0,0,0,0,0
3291,2024,8,20,2024-08-20,0,0,0,0,0,0,0,0
3292,2024,8,21,2024-08-21,0,0,0,0,0,0,0,0
3293,2024,8,22,2024-08-22,0,0,0,0,0,0,0,0
3294,2024,8,23,2024-08-23,0,0,0,0,0,0,0,0
3295,2024,8,24,2024-08-24,0,0,0,0,0,0,0,0
